fold_key,train_window,dev_window,test_window,train_samples,dev_samples,test_samples,lookback,feature_count
train_1962_2007__dev_2008_2008__test_2009_2009,1962-01-01:2007-12-31,2008-01-01:2008-12-31,2009-01-01:2009-12-31,390,1284,1673,40,13
train_1962_2008__dev_2009_2009__test_2010_2010,1962-01-01:2008-12-31,2009-01-01:2009-12-31,2010-01-01:2010-12-31,1908,1673,1704,40,13
train_1962_2009__dev_2010_2010__test_2011_2011,1962-01-01:2009-12-31,2010-01-01:2010-12-31,2011-01-01:2011-12-31,3846,1704,1917,40,13
train_1962_2010__dev_2011_2011__test_2012_2012,1962-01-01:2010-12-31,2011-01-01:2011-12-31,2012-01-01:2012-12-31,5862,1917,1899,40,13
train_1962_2011__dev_2012_2012__test_2013_2013,1962-01-01:2011-12-31,2012-01-01:2012-12-31,2013-01-01:2013-12-31,8123,1899,1974,40,13
train_1962_2012__dev_2013_2013__test_2014_2014,1962-01-01:2012-12-31,2013-01-01:2013-12-31,2014-01-01:2014-12-31,10373,1974,2130,40,13
train_1962_2013__dev_2014_2014__test_2015_2015,1962-01-01:2013-12-31,2014-01-01:2014-12-31,2015-01-01:2015-12-31,12698,2130,2130,40,13
train_1962_2014__dev_2015_2015__test_2016_2016,1962-01-01:2014-12-31,2015-01-01:2015-12-31,2016-01-01:2016-12-31,15218,2130,2130,40,13
train_1962_2015__dev_2016_2016__test_2017_2017,1962-01-01:2015-12-31,2016-01-01:2016-12-31,2017-01-01:2017-12-31,17738,2130,2120,40,13
train_1962_2016__dev_2017_2017__test_2018_2018,1962-01-01:2016-12-31,2017-01-01:2017-12-31,2018-01-01:2018-12-31,20258,2120,2120,40,13
train_1962_2017__dev_2018_2018__test_2019_2019,1962-01-01:2017-12-31,2018-01-01:2018-12-31,2019-01-01:2019-12-31,22768,2120,2130,40,13
train_1962_2018__dev_2019_2019__test_2020_2020,1962-01-01:2018-12-31,2019-01-01:2019-12-31,2020-01-01:2020-12-31,25278,2130,2140,40,13
train_1962_2019__dev_2020_2020__test_2021_2021,1962-01-01:2019-12-31,2020-01-01:2020-12-31,2021-01-01:2021-12-31,27798,2140,2130,40,13
train_1962_2020__dev_2021_2021__test_2022_2022,1962-01-01:2020-12-31,2021-01-01:2021-12-31,2022-01-01:2022-12-31,30328,2130,2120,40,13
train_1962_2021__dev_2022_2022__test_2023_2023,1962-01-01:2021-12-31,2022-01-01:2022-12-31,2023-01-01:2023-12-31,32848,2120,2110,40,13
train_1962_2022__dev_2023_2023__test_2024_2024,1962-01-01:2022-12-31,2023-01-01:2023-12-31,2024-01-01:2024-12-31,35358,2110,1740,40,13
train_1962_2023__dev_2024_2024,1962-01-01:2023-12-31,2024-01-01:2024-12-31,none,37858,1740,0,40,13
