prediction_year,train_period,predict_period,train_samples,predict_samples,status
2010,2006-2009,2010,3838,2016,trained
2011,2006-2010,2011,5854,2260,trained
2012,2006-2011,2012,8114,2250,trained
2013,2006-2012,2013,10364,2324,trained
2014,2006-2013,2014,12688,2520,trained
2015,2006-2014,2015,15208,2520,trained
2016,2006-2015,2016,17728,2520,trained
2017,2006-2016,2017,20248,2510,trained
2018,2006-2017,2018,22758,2510,trained
2019,2006-2018,2019,25268,2520,trained
2020,2006-2019,2020,27788,2530,trained
2021,2006-2020,2021,30318,2520,trained
2022,2006-2021,2022,32838,2510,trained
2023,2006-2022,2023,35348,2500,trained
2024,2006-2023,2024,37848,2130,trained
