date,ticker,option_price,stock_price,delta,delta_raw,signal_side,option_qty,num_contracts,stock_position,dte,days_held,bars_held,daily_pnl,cumulative_pnl,option_pnl,stock_pnl
2010-01-14,INTC,1.0350000000000001,21.48,-0.59996,0.59996,-1,-38,38,2279.848,37,1,1,0.0,0.0,-0.0,0.0
2010-01-15,INTC,0.495,20.8,-0.449023,0.449023,-1,-38,38,1706.2873999999997,36,2,2,495.73832976000114,495.73832976000114,2052.0000000000005,-1550.2966399999993
2010-01-19,INTC,0.505,21.05,-0.512414,0.512414,-1,-38,38,1947.1731999999997,32,3,3,386.0365269549999,881.7748567150011,-38.000000000000036,426.5718499999999
2010-01-20,INTC,0.535,21.08,-0.521427,0.521427,-1,-38,38,1981.4225999999994,31,4,4,-55.94579267600481,825.8290640389963,-114.0000000000001,58.41519599999529
2010-01-21,INTC,0.44,20.84,-0.445179,0.445179,-1,-38,38,1691.6801999999993,30,5,5,-117.56053980799665,708.2685242309997,361.0000000000001,-475.54142399999677
2010-02-16,MRK,0.89,37.66,-0.457966,0.457966,-1,-29,29,1328.1014,32,1,1,0.0,0.0,-0.0,0.0
2010-04-13,INTC,0.625,22.7699,0.456122,0.456122,1,48,48,-2189.3856,39,1,1,0.0,0.0,0.0,-0.0
2010-04-14,INTC,0.365,23.52,0.368012,0.368012,1,48,48,-1766.4576,38,2,2,-2895.2317718399995,-2895.2317718399995,-1248.0,-1642.2581385599995
2010-04-19,IBM,4.15,132.23,-0.618491,0.618491,-1,-6,6,371.0946,33,1,1,0.0,0.0,-0.0,0.0
2010-04-20,IBM,1.865,129.69,-0.46072,0.46072,-1,-6,6,276.432,32,2,2,422.28131970300296,422.28131970300296,1371.0,-942.580283999997
2010-04-21,IBM,1.5350000000000001,128.99,-0.410092,0.410092,-1,-6,6,246.0552,31,3,3,2.5384482840030462,424.819767987006,197.99999999999991,-193.50239999999687
2010-04-22,IBM,1.685,129.13,-0.426259,0.426259,-1,-6,6,255.7554,30,4,4,-56.1785654130033,368.6412025740027,-89.99999999999994,34.447727999996644
2010-05-18,HPQ,1.51,46.79,-0.455518,0.455518,-1,-23,23,1047.6914,32,1,1,0.0,0.0,-0.0,0.0
2010-05-19,HPQ,1.4849999999999999,47.0,-0.467302,0.467302,-1,-23,23,1074.7946,31,2,2,276.8782688000012,276.8782688000012,57.500000000000306,220.0151940000009
2010-05-20,HPQ,1.975,45.95,-0.517694,0.517694,-1,-23,23,1190.6961999999999,30,3,3,-2258.1971692599977,-1981.3189004599965,-1127.0000000000005,-1128.534329999997
2010-05-28,PBR,2.0549999999999997,35.62,-0.505779,0.505779,-1,-13,13,657.5127,50,1,1,0.0,0.0,-0.0,0.0
2010-06-01,PBR,2.1550000000000002,35.63,-0.507743,0.507743,-1,-13,13,660.0659,46,2,2,-123.47035825799732,-123.47035825799732,-130.00000000000068,6.575127000003364
2010-06-02,PBR,2.04,36.8,-0.512668,0.512668,-1,-13,13,666.4684,45,3,3,921.6592969999967,798.1889387419994,149.50000000000028,772.2771029999965
2010-06-03,PBR,2.0949999999999998,36.89,-0.522389,0.522389,-1,-13,13,679.1057,44,4,4,-11.750938998497361,786.4379997435021,-71.49999999999963,59.98215600000227
2010-06-04,PBR,2.29,36.0575,-0.535732,0.535732,-1,-13,13,696.4516,43,5,5,-819.1682201446274,-32.73022040112528,-253.50000000000037,-565.355495250002
2010-06-07,PBR,2.29,36.1,-0.539425,0.539425,-1,-13,13,701.2525,40,6,6,29.51253675500277,-3.2176836461225093,-0.0,29.59919300000277
2010-06-08,PBR,2.1900000000000004,37.1,-0.532216,0.532216,-1,-13,13,691.8808,39,7,7,831.0786549649996,827.8609713188771,129.99999999999955,701.2525
2010-06-09,PBR,1.98,37.56,-0.496426,0.496426,-1,-13,13,645.3538,38,8,8,590.3913909400012,1418.2523622588783,273.00000000000057,318.2651680000006
2010-06-10,PBR,1.9100000000000001,38.57,-0.495961,0.495961,-1,-13,13,644.7493,37,9,9,742.7956802174984,2161.048042476377,90.99999999999979,651.8073379999987
2010-06-11,PBR,2.165,38.32,-0.550243,0.550243,-1,-13,13,715.3159,36,10,10,-494.03938105599985,1667.008661420377,-331.4999999999999,-161.187325
2010-06-14,PBR,2.0549999999999997,37.21,-0.540787,0.540787,-1,-13,13,703.0231,33,11,11,-651.2293565439992,1015.7793048763778,143.00000000000043,-794.0006489999996
2010-06-15,PBR,1.645,37.92,-0.511601,0.511601,-1,-13,13,665.0812999999999,32,12,12,1031.427024472,2047.206329348378,532.9999999999997,499.1464010000006
2010-06-16,PBR,1.37,38.53,-0.46892,0.46892,-1,-13,13,609.596,31,13,13,762.1306686954995,2809.3369980438774,357.4999999999999,405.6995929999996
2010-06-17,PBR,1.75,38.24,-0.541942,0.541942,-1,-13,13,704.5246000000001,30,14,14,-672.5978748319993,2136.739123211878,-493.99999999999983,-176.78283999999948
2010-07-15,JPM,1.89,40.46,-0.563016,0.563016,-1,-21,21,1182.3336,37,1,1,0.0,0.0,-0.0,0.0
2010-07-16,JPM,1.65,39.0,-0.522061,0.522061,-1,-21,21,1096.3281,36,2,2,-1223.884163250001,-1223.884163250001,504.0,-1726.2070560000009
2010-07-20,PEP,0.98,64.73,0.472312,0.472312,1,16,16,-755.6992,32,1,1,0.0,0.0,0.0,-0.0
2010-07-21,PEP,0.635,63.95,0.349567,0.349567,1,16,16,-559.3072,31,2,2,31.16574180000092,31.16574180000092,-552.0,589.4453760000009
2010-07-22,PEP,0.755,64.21,0.397826,0.397826,1,16,16,-636.5215999999999,30,3,3,44.10115968800509,75.26690148800601,192.0,-145.4198719999949
2010-08-19,HPQ,1.395,40.76,-0.490538,0.490538,-1,-24,24,1177.2912,30,1,1,0.0,0.0,-0.0,0.0
2010-10-18,IBM,2.615,142.83,-0.406999,0.406999,-1,-8,8,325.5992,33,1,1,0.0,0.0,-0.0,0.0
2010-10-19,IBM,1.585,138.03,-0.374528,0.374528,-1,-8,8,299.6224,32,2,2,-740.6689488520034,-740.6689488520034,824.0000000000002,-1562.8761600000037
2010-10-21,PM,1.48,57.56,-0.510852,0.510852,-1,-16,16,817.3632,58,1,1,0.0,0.0,-0.0,0.0
2010-10-22,PM,1.78,58.13,-0.578016,0.578016,-1,-16,16,924.8256,57,2,2,-17.226370655999844,-17.226370655999844,-480.00000000000006,465.8970240000002
2010-10-25,PM,1.205,59.47,-0.451399,0.451399,-1,-16,16,722.2384000000001,54,3,3,2153.242373607997,2136.016002951997,919.9999999999999,1239.2663039999966
2010-10-26,PM,1.2349999999999999,59.5,-0.457922,0.457922,-1,-16,16,732.6752,53,4,4,-26.643342799998866,2109.3726601519984,-47.99999999999969,21.667152000000822
2010-10-27,PM,1.025,58.98,-0.403198,0.403198,-1,-16,16,645.1168,52,5,5,-47.57320121600234,2061.799458935996,335.99999999999994,-380.9911040000023
2010-10-28,PM,1.135,59.26,-0.433576,0.433576,-1,-16,16,693.7216000000001,51,6,6,3.1925437760005577,2064.9920027119965,-176.00000000000017,180.63270400000073
2010-10-29,PM,2.145,58.51,-0.613173,0.613173,-1,-16,16,981.0768,50,7,7,-2144.697776376,-79.70577366400357,-1616.0,-520.2912000000001
2010-11-01,PM,1.98,58.29,-0.59471,0.59471,-1,-16,16,951.5360000000001,47,8,8,47.30213738400117,-32.4036362800024,264.00000000000006,-215.8368959999989
2010-11-02,PM,2.03,58.46,-0.606477,0.606477,-1,-16,16,970.3632000000002,46,9,9,81.2108009440019,48.8071646639995,-79.99999999999972,161.76112000000163
2010-11-03,PM,1.02,59.3,-0.424038,0.424038,-1,-16,16,678.4608000000002,45,10,10,2422.4501818399963,2471.257346503996,1615.9999999999995,815.1050879999966
2010-11-04,PM,1.86,60.82,-0.59871,0.59871,-1,-16,16,957.9360000000001,44,11,11,-321.23842483199786,2150.018921671998,-1344.0000000000002,1031.2604160000024
2010-11-05,PM,1.665,60.44,-0.562987,0.562987,-1,-16,16,900.7792000000002,43,12,12,-53.742958496002416,2096.275963175996,312.0000000000001,-364.01568000000253
2010-11-08,PM,1.42,60.22,-0.533524,0.533524,-1,-16,16,853.6384000000002,40,13,13,192.40916651200115,2288.6851296879972,392.00000000000017,-198.171423999999
2010-11-09,PM,1.0950000000000002,59.56,-0.45376,0.45376,-1,-16,16,726.0160000000002,39,14,14,-47.20193907199761,2241.483190616,519.9999999999995,-563.4013439999972
2010-11-10,PM,1.0950000000000002,59.61,-0.463954,0.463954,-1,-16,16,742.3264000000001,38,15,15,35.81466852799795,2277.297859143998,-0.0,36.30079999999795
2010-11-11,PM,1.17,59.82,-0.487194,0.487194,-1,-16,16,779.5104000000002,37,16,16,34.776370560001105,2312.0742297039988,-119.99999999999957,155.88854400000068
2010-11-12,PM,1.115,59.64,-0.464634,0.464634,-1,-16,16,743.4144000000002,36,17,17,-53.38825471999992,2258.6859749839987,87.9999999999999,-140.31187199999982
2010-11-15,PM,0.955,59.45,-0.437606,0.437606,-1,-16,16,700.1696000000002,33,18,18,113.4658123200017,2372.151787304,256.00000000000006,-141.24873599999836
2010-11-16,PM,1.92,58.54,-0.633268,0.633268,-1,-16,16,1013.2288000000003,32,19,19,-2190.3175787840028,181.83420851999745,-1544.0,-637.1543360000028
2010-11-17,PM,1.475,57.79,-0.547846,0.547846,-1,-16,16,876.5536000000003,31,20,20,-51.870829904000466,129.963378615997,711.9999999999998,-759.9216000000002
2010-11-23,HPQ,1.835,44.19,-0.531246,0.531246,-1,-21,21,1115.6166,60,1,1,0.0,0.0,-0.0,0.0
2010-11-24,HPQ,1.545,43.745,-0.488525,0.488525,-1,-21,21,1025.9025000000001,59,2,2,110.58834134774978,110.58834134774978,609.0000000000001,-496.44938700000034
2010-11-26,HPQ,1.75,43.2,-0.532255,0.532255,-1,-21,21,1117.7355000000002,57,3,3,-991.6004552999948,-881.012113952245,-430.50000000000017,-559.1168624999946
2010-12-16,ORCL,1.2149999999999999,30.27,0.556666,0.556666,1,29,29,-1614.3314,37,1,1,0.0,0.0,0.0,-0.0
2010-12-17,ORCL,1.09,31.4625,0.59907,0.59907,1,29,29,-1737.303,36,2,2,-2289.524691482498,-2289.524691482498,-362.4999999999994,-1925.0901944999985
2011-01-13,INTC,0.785,21.29,-0.56942,0.56942,-1,-40,40,2277.6800000000003,37,1,1,0.0,0.0,-0.0,0.0
2011-01-14,INTC,0.53,21.08,-0.521075,0.521075,-1,-40,40,2084.3,36,2,2,539.648974799998,539.648974799998,1020.0,-478.312800000002
2011-01-18,INTC,0.51,21.0825,-0.521585,0.521585,-1,-40,40,2086.34,32,3,3,85.18924585000273,624.8382206500007,80.00000000000007,5.210750000002666
2011-01-19,INTC,0.425,21.01,-0.491403,0.491403,-1,-40,40,1965.6120000000003,31,4,4,187.4721023600042,812.3103230100049,340.00000000000006,-151.25964999999587
